observation_date,Unrate_log
1/1/48,0.531478917
2/1/48,0.579783597
3/1/48,0.602059991
4/1/48,0.591064607
5/1/48,0.544068044
6/1/48,0.556302501
7/1/48,0.556302501
8/1/48,0.591064607
9/1/48,0.579783597
10/1/48,0.568201724
11/1/48,0.579783597
12/1/48,0.602059991
1/1/49,0.633468456
2/1/49,0.672097858
3/1/49,0.698970004
4/1/49,0.72427587
5/1/49,0.785329835
6/1/49,0.792391689
7/1/49,0.826074803
8/1/49,0.832508913
9/1/49,0.819543936
10/1/49,0.897627091
11/1/49,0.806179974
12/1/49,0.819543936
1/1/50,0.812913357
2/1/50,0.806179974
3/1/50,0.799340549
4/1/50,0.763427994
5/1/50,0.740362689
6/1/50,0.73239376
7/1/50,0.698970004
8/1/50,0.653212514
9/1/50,0.643452676
10/1/50,0.62324929
11/1/50,0.62324929
12/1/50,0.633468456
1/1/51,0.568201724
2/1/51,0.531478917
3/1/51,0.531478917
4/1/51,0.491361694
5/1/51,0.477121255
6/1/51,0.505149978
7/1/51,0.491361694
8/1/51,0.491361694
9/1/51,0.51851394
10/1/51,0.544068044
11/1/51,0.544068044
12/1/51,0.491361694
1/1/52,0.505149978
2/1/52,0.491361694
3/1/52,0.462397998
4/1/52,0.462397998
5/1/52,0.477121255
6/1/52,0.477121255
7/1/52,0.505149978
8/1/52,0.531478917
9/1/52,0.491361694
10/1/52,0.477121255
11/1/52,0.447158031
12/1/52,0.431363764
1/1/53,0.462397998
2/1/53,0.414973348
3/1/53,0.414973348
4/1/53,0.431363764
5/1/53,0.397940009
6/1/53,0.397940009
7/1/53,0.414973348
8/1/53,0.431363764
9/1/53,0.462397998
10/1/53,0.491361694
11/1/53,0.544068044
12/1/53,0.653212514
1/1/54,0.69019608
2/1/54,0.716003344
3/1/54,0.755874856
4/1/54,0.770852012
5/1/54,0.770852012
6/1/54,0.748188027
7/1/54,0.763427994
8/1/54,0.77815125
9/1/54,0.785329835
10/1/54,0.755874856
11/1/54,0.72427587
12/1/54,0.698970004
1/1/55,0.69019608
2/1/55,0.672097858
3/1/55,0.662757832
4/1/55,0.672097858
5/1/55,0.633468456
6/1/55,0.62324929
7/1/55,0.602059991
8/1/55,0.62324929
9/1/55,0.612783857
10/1/55,0.633468456
11/1/55,0.62324929
12/1/55,0.62324929
1/1/56,0.602059991
2/1/56,0.591064607
3/1/56,0.62324929
4/1/56,0.602059991
5/1/56,0.633468456
6/1/56,0.633468456
7/1/56,0.643452676
8/1/56,0.612783857
9/1/56,0.591064607
10/1/56,0.591064607
11/1/56,0.633468456
12/1/56,0.62324929
1/1/57,0.62324929
2/1/57,0.591064607
3/1/57,0.568201724
4/1/57,0.591064607
5/1/57,0.612783857
6/1/57,0.633468456
7/1/57,0.62324929
8/1/57,0.612783857
9/1/57,0.643452676
10/1/57,0.653212514
11/1/57,0.707570176
12/1/57,0.716003344
1/1/58,0.763427994
2/1/58,0.806179974
3/1/58,0.826074803
4/1/58,0.86923172
5/1/58,0.86923172
6/1/58,0.86332286
7/1/58,0.875061263
8/1/58,0.86923172
9/1/58,0.851258349
10/1/58,0.826074803
11/1/58,0.792391689
12/1/58,0.792391689
1/1/59,0.77815125
2/1/59,0.770852012
3/1/59,0.748188027
4/1/59,0.716003344
5/1/59,0.707570176
6/1/59,0.698970004
7/1/59,0.707570176
8/1/59,0.716003344
9/1/59,0.740362689
10/1/59,0.755874856
11/1/59,0.763427994
12/1/59,0.72427587
1/1/60,0.716003344
2/1/60,0.681241237
3/1/60,0.73239376
4/1/60,0.716003344
5/1/60,0.707570176
6/1/60,0.73239376
7/1/60,0.740362689
8/1/60,0.748188027
9/1/60,0.740362689
10/1/60,0.785329835
11/1/60,0.785329835
12/1/60,0.819543936
1/1/61,0.819543936
2/1/61,0.838849091
3/1/61,0.838849091
4/1/61,0.84509804
5/1/61,0.851258349
6/1/61,0.838849091
7/1/61,0.84509804
8/1/61,0.819543936
9/1/61,0.826074803
10/1/61,0.812913357
11/1/61,0.785329835
12/1/61,0.77815125
1/1/62,0.763427994
2/1/62,0.740362689
3/1/62,0.748188027
4/1/62,0.748188027
5/1/62,0.740362689
6/1/62,0.740362689
7/1/62,0.73239376
8/1/62,0.755874856
9/1/62,0.748188027
10/1/62,0.73239376
11/1/62,0.755874856
12/1/62,0.740362689
1/1/63,0.755874856
2/1/63,0.770852012
3/1/63,0.755874856
4/1/63,0.755874856
5/1/63,0.770852012
6/1/63,0.748188027
7/1/63,0.748188027
8/1/63,0.73239376
9/1/63,0.740362689
10/1/63,0.740362689
11/1/63,0.755874856
12/1/63,0.740362689
1/1/64,0.748188027
2/1/64,0.73239376
3/1/64,0.73239376
4/1/64,0.72427587
5/1/64,0.707570176
6/1/64,0.716003344
7/1/64,0.69019608
8/1/64,0.698970004
9/1/64,0.707570176
10/1/64,0.707570176
11/1/64,0.681241237
12/1/64,0.698970004
1/1/65,0.69019608
2/1/65,0.707570176
3/1/65,0.672097858
4/1/65,0.681241237
5/1/65,0.662757832
6/1/65,0.662757832
7/1/65,0.643452676
8/1/65,0.643452676
9/1/65,0.633468456
10/1/65,0.62324929
11/1/65,0.612783857
12/1/65,0.602059991
1/1/66,0.602059991
2/1/66,0.579783597
3/1/66,0.579783597
4/1/66,0.579783597
5/1/66,0.591064607
6/1/66,0.579783597
7/1/66,0.579783597
8/1/66,0.579783597
9/1/66,0.568201724
10/1/66,0.568201724
11/1/66,0.556302501
12/1/66,0.579783597
1/1/67,0.591064607
2/1/67,0.579783597
3/1/67,0.579783597
4/1/67,0.579783597
5/1/67,0.579783597
6/1/67,0.591064607
7/1/67,0.579783597
8/1/67,0.579783597
9/1/67,0.579783597
10/1/67,0.602059991
11/1/67,0.591064607
12/1/67,0.579783597
1/1/68,0.568201724
2/1/68,0.579783597
3/1/68,0.568201724
4/1/68,0.544068044
5/1/68,0.544068044
6/1/68,0.568201724
7/1/68,0.568201724
8/1/68,0.544068044
9/1/68,0.531478917
10/1/68,0.531478917
11/1/68,0.531478917
12/1/68,0.531478917
1/1/69,0.531478917
2/1/69,0.531478917
3/1/69,0.531478917
4/1/69,0.531478917
5/1/69,0.531478917
6/1/69,0.544068044
7/1/69,0.544068044
8/1/69,0.544068044
9/1/69,0.568201724
10/1/69,0.568201724
11/1/69,0.544068044
12/1/69,0.544068044
1/1/70,0.591064607
2/1/70,0.62324929
3/1/70,0.643452676
4/1/70,0.662757832
5/1/70,0.681241237
6/1/70,0.69019608
7/1/70,0.698970004
8/1/70,0.707570176
9/1/70,0.73239376
10/1/70,0.740362689
11/1/70,0.770852012
12/1/70,0.785329835
1/1/71,0.770852012
2/1/71,0.770852012
3/1/71,0.77815125
4/1/71,0.770852012
5/1/71,0.770852012
6/1/71,0.770852012
7/1/71,0.77815125
8/1/71,0.785329835
9/1/71,0.77815125
10/1/71,0.763427994
11/1/71,0.77815125
12/1/71,0.77815125
1/1/72,0.763427994
2/1/72,0.755874856
3/1/72,0.763427994
4/1/72,0.755874856
5/1/72,0.755874856
6/1/72,0.755874856
7/1/72,0.748188027
8/1/72,0.748188027
9/1/72,0.740362689
10/1/72,0.748188027
11/1/72,0.72427587
12/1/72,0.716003344
1/1/73,0.69019608
2/1/73,0.698970004
3/1/73,0.69019608
4/1/73,0.698970004
5/1/73,0.69019608
6/1/73,0.69019608
7/1/73,0.681241237
8/1/73,0.681241237
9/1/73,0.681241237
10/1/73,0.662757832
11/1/73,0.681241237
12/1/73,0.69019608
1/1/74,0.707570176
2/1/74,0.716003344
3/1/74,0.707570176
