Month,Unemployment Rate_USLabourStats,,unemployment: (United States),social security: (United States),Social Security Office Locations: (United States),Social Security Administration: (United States),Unemployment Benefits: (United States),Social Security Disability: (United States),Social Security Gov: (United States),Unemployment Office: (United States),Food Stamps: (United States),Department of Labor: (United States),Job Search: (United States),Resume: (United States),Job Search Engines: (United States),Cover Letter: (United States),Axed: (United States),Pink Slip: (United States),Downsized: (United States),Unemployment Insurance Division: (United States),Continued Claim: (United States),Unemployment Insurance: (United States),Unemployment Compensation: (United States),Unemployment Compensation for Federal Employees: (United States),UCX: (United States),Unemployment Claim: (United States),apply for unemployment: (United States),applying for unemployment: (United States),filing for unemployment: (United States),Unemployment Online: (United States),Unemployment office locations: (United States),Unemployment eligibility: (United States),ui benefits: (United States),unemployed: (United States),labor force: (United States),eligible population: (United States),labor force participation rate: (United States),discouraged workers: (United States),underemployed: (United States),full employment output: (United States),natural rate of employment: (United States),frictional unemployment: (United States),structural unemployment: (United States),cyclical unemployment: (United States),desempleo: (United States),Seguro de desempleo: (United States),Unemoloyment in Chinese: (United States),reducida: (United States),,,,Index
2019-02,3.8,0.579783597,27,82,3,32,13,79,15,34,46,19,11,49,4,47,26,72,3,18,10,16,13,8,42,29,64,26,21,21,6,9,42,46,90,10,68,92,3,59,74,73,69,79,35,9,25,14,,1633,0.005383238,0.538323845
2019-03,3.8,0.579783597,23,79,2,33,12,72,12,29,36,17,10,46,3,45,23,80,2,22,11,13,11,5,34,25,51,28,16,18,4,9,28,43,82,11,72,80,3,65,72,80,80,86,29,15,29,22,,1568,0.005168964,0.51689638
2019-04,3.6,0.556302501,23,84,1,37,12,75,10,31,38,17,10,47,4,48,27,80,2,13,11,16,12,10,37,24,59,24,17,19,4,8,30,43,83,11,57,56,4,69,42,72,68,82,34,12,35,16,,1514,0.004990951,0.499095102
2019-05,3.6,0.556302501,21,78,1,38,12,72,9,29,38,16,22,47,5,44,32,74,3,11,10,13,10,5,34,23,61,22,16,16,5,9,32,36,64,9,43,44,3,31,35,70,65,67,33,13,64,21,,1406,0.004634925,0.463492545
2019-06,3.7,0.568201724,22,80,1,37,12,75,11,33,41,16,11,46,5,41,33,70,2,15,10,12,11,5,43,27,67,30,19,18,6,10,33,36,38,11,31,26,2,13,29,26,29,27,30,10,32,16,,1198,0.003949247,0.394924658
2019-07,3.7,0.568201724,87,2,40,13,78,9,38,49,18,11,44,5,40,27,74,3,19,15,15,12,5,29,29,68,29,20,20,4,10,40,32,35,7,28,16,2,12,21,21,17,20,38,15,39,17,0,,1173,0.003866833,0.386683325
2019-08,3.7,0.568201724,88,2,42,11,79,8,33,46,17,11,46,5,41,22,81,3,13,10,12,11,5,50,25,61,24,18,17,5,9,27,33,33,3,18,10,2,9,17,11,11,10,31,17,22,17,0,,1066,0.003514104,0.351410422
2019-09,3.5,0.544068044,77,2,35,12,74,8,30,41,16,10,48,5,45,25,68,2,3,11,12,10,14,46,25,58,23,18,17,6,10,31,34,72,9,56,53,3,20,35,46,45,60,31,13,33,20,0,,1312,0.004325051,0.432505134
2019-10,3.5,0.544068044,83,2,35,13,75,9,32,39,17,10,45,5,42,23,68,3,14,8,15,10,4,46,24,61,27,17,19,4,9,35,37,79,14,70,92,3,55,61,91,83,93,39,14,29,25,0,,1579,0.005205226,0.520522566
2019-11,3.7,0.568201724,78,2,33,13,75,7,29,41,15,10,41,4,38,29,72,2,9,12,14,11,14,45,26,69,24,16,18,4,9,29,37,72,13,60,61,3,65,49,82,83,95,36,10,30,12,0,,1497,0.00493491,0.493490996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,145.8738885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303349,1,100
