Age,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
25,62962,11654,87532,38317,559530,75348,43813,12022,15640,249739,134855,20517,21132,176341,82339,37157,38036,55732,67265,14893,82067,96494,117959,70488,38764,79071,12440,24561,38396,15233,109844,28174,289166,128070,10751,145209,51773,50893,166308,14417,62032,11155,84173,377578,42684,7221,115524,96114,21579,70667,7924
26,62349,12081,88421,37963,561068,77477,44582,11945,15846,248796,135407,20400,21041,179751,82962,38413,39013,55443,67330,15003,82231,96215,117942,72847,38683,80682,12366,25049,38899,15429,111382,28254,289944,127735,10675,145133,52391,52017,165210,13729,61300,11177,84159,381681,42217,7076,116466,97669,21112,72395,8295
27,62652,11962,89417,38369,567059,78252,44209,12008,15939,248870,137052,20402,21168,183295,84093,39701,39699,56059,68506,15121,82608,95497,118654,75295,39636,81266,12756,25931,39876,15309,112594,28609,292274,127646,10452,145873,54094,53554,163801,13674,60930,11435,84919,385627,43523,7066,116759,99575,21253,74725,8391
28,60643,11556,86856,38050,549763,76798,42996,11440,15425,241365,132846,20080,20756,178460,81350,38656,38872,55279,66606,14430,79879,90791,114316,73810,38104,78525,12673,25323,38812,14473,109538,27996,277501,123147,10203,139788,53046,52651,157066,13147,59891,11151,82499,376076,43195,6983,113147,97654,20723,72313,8279
29,61238,11660,89385,38750,557587,78107,43422,11662,15285,243098,135769,19978,21137,181586,83909,39310,39444,56927,66783,14670,80902,90329,117237,75527,39256,80892,12935,25992,39844,14873,111706,28345,278722,126712,10419,142411,54100,54190,159027,13265,60484,11286,84258,384146,44947,7130,115351,99014,22089,74146,8373
30,61933,11310,89299,38718,558664,78190,43633,11653,14649,242082,136667,20101,21331,181575,84226,39935,39250,57335,66262,14816,80597,89684,118258,76185,39414,80411,13008,26071,39985,14788,113134,28334,276332,126740,10070,143703,53727,55056,158260,13226,60684,11255,84996,384596,45416,7165,115341,100212,22076,74658,8259
31,62084,10784,88474,38967,547481,77158,42800,11616,13990,237364,137041,19418,21314,180256,85024,39473,38996,57952,65611,14717,79873,86944,118566,75755,39886,80288,12685,25779,39451,14965,112876,27831,269916,126517,9578,144611,52626,54749,156385,13151,60629,11203,84645,381685,45653,7191,113974,98887,22377,74269,8100
32,63665,10856,90921,39892,558921,78462,44117,11894,13623,243378,141425,19753,21568,185053,87151,40918,39371,59457,65671,15138,81553,87552,121318,76129,40517,81167,12929,25734,40659,15215,117546,27978,277855,130180,9588,147757,53688,56143,158135,13330,61220,11255,86864,387342,46496,7434,116344,100089,23838,76122,8284
33,59809,9792,84202,37151,518665,73480,42016,11210,12121,228906,133988,18332,20946,173268,82338,38301,36792,56548,60781,14535,76633,83281,115931,71442,38062,75775,12135,23721,38058,14610,112170,25982,257949,124520,8850,140140,49249,52764,149439,12389,58572,10370,82776,362341,44291,6909,108736,93853,22570,71361,7674
34,59188,9552,82231,36748,508709,72105,41422,10846,11182,226988,131821,17708,20468,169781,81211,37188,35658,55933,58903,14509,74618,81302,114080,68633,37089,73680,11993,23220,37459,14453,111484,25076,251311,124640,8536,136712,47603,52268,146486,12217,57485,9837,81346,356204,43720,6874,107101,91807,22553,69400,7284
35,59064,9380,82462,35957,507239,71017,41486,10456,10311,226514,131171,17617,20368,168229,80420,36179,35286,55632,57557,14275,73876,79490,112910,66665,36927,72651,11708,22794,37156,14124,111467,24872,247949,124563,8253,134814,47223,51765,144268,11931,57295,9767,81020,354519,42577,6699,105468,90777,22385,68258,7076
36,56865,8894,80150,35014,497858,68601,40481,10069,9203,221907,128104,17031,19454,162869,77919,34455,33985,53682,54847,14101,71538,77937,110106,63896,35573,69430,11065,21845,35977,14108,109907,24280,239949,120642,7719,131087,45374,50234,139904,11479,54276,9487,77685,348528,39847,6547,101993,87815,21638,65743,6826
37,58906,9287,83540,36222,514610,71076,41909,10512,9174,229776,133777,17296,19727,167000,80947,35704,34459,55169,54790,14701,73747,80766,113792,65231,36196,71297,11128,22549,37070,15012,114292,24351,248834,126627,7704,136275,47068,50696,144342,12099,56807,9273,81465,357096,38539,6906,105569,90119,22801,67668,6998
38,58045,8738,80718,35116,496488,68469,41000,10243,8483,226536,131546,16871,18723,161079,78493,33663,32698,53550,52782,14704,70837,78677,112882,62009,35285,68812,10654,21233,36295,14916,111448,23635,236273,124781,7401,132369,44750,48545,141735,11850,56318,8947,79920,347511,36093,6764,103106,86182,21866,64556,6723
39,59630,8812,80156,35677,499055,68556,42503,10657,8244,234648,135827,16988,18541,163078,80122,33499,32877,54772,53616,15322,73154,80768,116726,62179,36244,70045,10795,21134,36895,15592,113312,23947,237972,128237,7400,136214,45129,48634,146754,12251,58127,8861,82704,350134,34974,6900,105525,86208,22850,65212,6465
40,62569,9164,83043,37009,511186,71370,45695,11268,8310,247632,142260,17550,19269,170565,84061,35648,34103,58287,56202,16656,78011,85679,124592,65347,37955,74195,11138,22286,38288,17127,119206,24576,248871,135226,7490,145425,46752,50195,156734,12945,60806,9299,86668,360443,34845,7360,111387,90400,23817,69001,6737
41,66190,9771,87135,38690,535408,75515,49741,12155,8637,260548,149606,18162,20285,179350,89569,38205,36086,61169,58637,17926,83748,91599,134544,71036,39595,79012,12037,22833,40351,18912,127107,25664,267097,144201,7836,156978,48667,53456,169802,13935,63969,9731,91969,372827,35256,8107,117304,96894,25171,74880,7140
42,65326,9962,88061,38819,555589,75787,52223,12472,8432,263487,149321,19221,20172,181156,88689,38813,36588,60327,58738,18101,85508,94367,135976,72595,39291,79022,11954,23101,41013,19299,131824,26078,278948,143090,7973,157365,49223,54259,172166,14582,64256,9812,91724,369778,34450,8471,118637,99406,25203,76179,7224
43,61825,9299,82561,36509,525006,71733,50614,11718,7649,249622,139754,17801,19202,170685,83448,37256,34523,57659,56856,17622,82189,91434,129606,69695,36950,74505,11503,22119,38380,18890,126707,24884,265032,134598,7710,149630,45801,51297,166536,14010,60986,9491,86366,347491,31830,8109,113242,94179,23666,73430,6647
44,60301,9015,80352,35337,511083,67870,50609,11641,7428,247537,135904,17253,18466,168264,81927,36260,33209,56809,56510,17835,82307,91671,128444,68176,36567,72871,11169,21270,37193,18840,126075,24096,262691,131568,7636,146729,44378,48520,165829,14196,59689,9387,83420,336537,30293,8050,111457,90349,23411,73033,6465
45,60462,9164,78372,35509,501528,66277,51797,12175,7249,251938,135915,17197,18531,168387,83245,36937,33520,57283,56817,18457,83271,93690,130790,68823,36231,74459,11362,21490,36742,19471,127706,24410,264346,130727,7703,148947,43959,47537,169319,14563,59889,9437,83892,330497,29779,8341,112194,88339,23733,75755,6411
46,62636,9457,79266,36540,505955,66452,54272,12566,7443,259939,138395,17588,18620,171264,84567,37734,34682,58466,58221,18843,85830,96646,133392,71172,37126,76092,11616,22157,36774,20046,131436,24699,272255,131854,7888,152113,44803,48003,173577,14896,61755,9706,86169,332742,28939,8612,114885,88723,24077,77855,6569
47,67528,10284,84056,39737,532655,71090,57047,13244,7931,278054,145075,18814,19299,181373,90866,40245,37022,62981,62639,19943,90784,101657,140813,76094,40039,82716,12816,23780,39059,21442,138384,26913,289740,138568,8458,161976,49003,50200,184296,15920,65613,10521,92107,349490,29768,9249,122215,94327,25780,82694,7141
48,68572,10479,85144,40962,537148,72939,58069,13497,7877,284575,145876,18675,20126,184035,93464,41840,39036,64265,64066,20911,93011,103235,146091,78986,40921,86212,13470,24756,38983,22213,140094,27554,291213,141600,8982,166633,50831,51248,188012,15806,67492,11252,93909,353779,30383,9639,124814,96960,26206,85035,7576
49,68578,10870,85426,41077,533274,73793,57199,13607,7841,283172,144043,18930,20619,184599,93156,42659,39773,64115,64196,21473,91896,102484,146867,80569,41124,87811,14079,25553,38527,22450,139365,28303,288482,140538,9422,167494,52251,52191,187537,15735,66658,11575,93237,353619,31131,9820,124163,98847,26043,86152,7883
50,69081,10998,85627,40451,527906,74568,56929,13496,7603,281355,141712,18939,20904,184788,93694,43642,40428,64041,64471,21788,91109,101981,148298,81241,41230,89020,14560,25973,37972,22587,138390,29156,284803,138923,9662,170059,52626,53221,190012,16190,66273,11681,92427,351590,31230,10013,122566,98668,26320,87554,7964
51,69862,11110,86393,41040,529908,75982,58376,13557,7609,283314,141269,18848,21576,188742,96048,45150,41474,64703,65916,22168,92063,102973,151032,83476,41735,91013,15043,26449,37955,23206,138981,29702,288805,139548,10067,175003,53579,54395,195285,16465,67275,12085,93245,351897,31611,10479,122982,100354,27088,90026,8620
52,70804,11543,87286,41431,540821,76634,58559,13546,7797,283520,140768,20039,21384,191248,96404,45660,41337,65066,67354,22232,92232,103074,152127,83923,42542,91182,15521,26891,38322,23087,139801,30125,296367,139799,10245,176598,54540,55143,196967,16290,67545,12316,94228,354147,31524,10261,123132,101048,27792,89750,8816
53,68632,10975,83879,40443,511799,74337,56891,13274,7396,273054,134996,19121,20739,185176,93830,44006,40272,63615,65558,22100,89513,100315,150497,80948,41325,88268,15293,25950,36451,22895,135510,28815,284187,135214,10063,174803,52187,53960,195494,15950,65511,11832,91187,339633,30482,10363,119332,98339,28020,87700,8679
