State,UnemploymentRate
Alabama,3.9
Alaska,6.6
Arizona,4.7
Arkansas,3.8
California,4.2
Colorado,3.3
Connecticut,4.1
Delaware,3.8
District of Columbia,5.6
Florida,3.6
Georgia,3.9
Hawaii,2.6
Idaho,3
Illinois,4.2
Indiana,3.5
Iowa,2.5
Kansas,3.4
Kentucky,4.4
Louisiana,4.9
Maine,3.5
Maryland,4.2
Massachusetts,3.4
Michigan,4.1
Minnesota,2.8
Mississippi,4.8
Missouri,3.2
Montana,3.7
Nebraska,2.8
Nevada,4.5
New Hampshire,2.6
New Jersey,4.2
New Mexico,4.7
New York,4.1
North Carolina,3.8
North Dakota,2.8
Ohio,4.5
Oklahoma,3.4
Oregon,4.1
Pennsylvania,4.3
Rhode Island,4.1
South Carolina,3.5
South Dakota,2.9
Tennessee,3.5
Texas,3.8
Utah,3.3
Vermont,2.7
Virginia,2.9
Washington,4.4
West Virginia,5.3
Wisconsin,3
Wyoming,4.2
