Age,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
10,62859,10245,95985,40392,513360,72523,42078,11508,6287,241136,145668,16915,26288,161916,89432,42109,40540,56971,62799,14317,76510,76451,121277,74332,41866,78657,13250,27043,40320,14570,110080,28255,222095,133122,9823,146222,54684,50710,150169,11453,64643,12408,86995,421871,53970,6638,105992,94908,20968,73425,8042
11,62768,10136,96440,40924,514706,73517,42900,11502,6099,243256,146769,16456,26432,163391,90041,42237,40500,57660,62967,14599,76352,77018,123240,74642,42965,78907,13374,26684,40129,15009,111150,28288,222699,134086,9806,147906,54878,50366,150806,11528,65575,12411,86698,420804,54129,6790,106234,94052,20923,74227,8031
12,61782,9791,95263,40035,509164,72973,43456,11599,5592,242451,146038,16217,26103,163371,89639,41927,40056,56987,61101,14662,75267,77385,123589,73784,41310,78490,13093,26632,39409,15198,111301,27897,221720,133099,9569,147722,53712,49649,150355,11807,63825,12219,86059,417556,53185,6701,105454,91910,20739,73851,7791
13,61527,9921,94661,39920,506635,73186,44411,11481,5379,240317,144569,16081,26122,164091,89235,41228,39691,56986,60551,14862,75088,77985,124566,73630,40491,77947,12805,26644,38720,15484,112321,27973,224257,131827,9391,147079,53448,48999,151090,11947,62847,11969,85195,416675,52831,6715,104943,91218,20678,73481,7789
14,61559,9666,94072,39515,504108,73179,45052,11564,5216,239087,144714,16285,26091,166379,90243,41063,39659,57184,59940,14795,75289,80303,126750,74264,40295,77939,12759,26479,38444,15853,113762,27528,227099,132074,9059,148858,53388,49490,152813,12086,62664,11875,85167,414513,52684,6917,105739,90714,21080,74364,7451
15,61608,9636,91210,39439,501871,72625,45283,11674,5076,233383,143398,15950,25495,165212,89494,40974,39787,56699,59483,14814,74632,81320,126486,72538,39979,77693,12517,26254,38216,16139,113674,27520,227918,131301,8857,148620,52685,49061,153378,12267,62162,11408,85094,412512,52057,6991,104681,89875,21030,73762,7480
16,61747,9537,92264,39207,496941,70645,45826,11548,5104,240454,143670,15353,25258,164992,89094,40575,38993,56239,59474,14908,74911,81648,127583,71082,39630,77211,12660,25915,37762,16217,113205,27465,228289,131208,8650,149443,52571,48561,153162,12321,61985,11187,84968,408131,50856,6932,104546,88936,21061,73592,7227
17,64887,9713,95100,40121,512968,71780,47042,11682,5502,248227,147607,15584,25879,169193,92302,41321,39779,57965,61015,15569,77151,84577,132366,72618,41161,79326,12914,25882,38395,16320,115960,28159,234257,135706,8642,154538,52894,49942,158527,12551,63598,11235,87130,414164,50668,7336,106822,92055,21381,75220,7205
18,64281,9035,98259,39598,529012,74061,51615,12942,9021,247558,148676,15126,24700,167074,89322,43274,39837,58281,59616,16197,80028,99978,136339,71144,42425,77779,12450,25929,35218,17730,112489,28064,251285,142236,9349,154337,52451,50416,170254,16247,67498,11310,85335,404998,49222,9626,112720,89793,21948,76495,7144
19,63157,8342,96961,39342,504583,74253,52138,12517,12197,236800,145019,15166,23174,161734,95441,47978,41878,57921,56425,15903,74782,107883,130973,70427,42738,79378,13482,27599,31507,18725,102487,27844,246543,143727,11784,154959,53539,48855,174979,18040,68651,12534,82798,392538,46182,11400,113515,86390,21807,79349,7257
20,63954,9606,95670,40449,510309,71352,52062,11935,10677,242346,142342,16502,21807,163848,96648,47752,43602,58954,58353,15347,74441,103735,135208,70648,41431,80665,13788,27915,32411,18951,105218,27827,251472,141547,12087,151782,54698,49963,167211,16977,66864,12007,84627,389195,46480,10849,114015,89203,22129,79447,7516
21,64258,10275,96903,40382,520836,72002,51130,11093,9124,247152,140989,17486,22288,165089,95660,47177,42766,59245,60238,14942,74005,99726,138071,71309,40762,81401,14321,27844,33944,18766,108757,27942,252301,137531,12333,149061,54024,51595,163141,16129,66183,12038,85850,389781,50247,10176,115465,90827,22766,79541,7642
22,64735,10535,97874,40507,536779,74573,47966,11089,8435,251360,140714,18227,23507,168312,94862,46470,42821,60244,61430,14786,73457,96751,139236,71938,40957,81843,14890,27210,36227,18016,110341,27925,252843,137580,13270,150439,54246,53361,159899,14646,65298,11737,88053,396282,53592,8881,115120,94869,22939,79822,7849
23,65722,11092,100561,39931,561777,78323,45996,11816,10967,260737,144723,18925,23307,173542,92597,43752,43071,61585,63936,14770,76150,95142,141735,72263,41962,82196,14934,27343,38894,16869,112124,28950,266222,139383,13142,152616,55272,54903,159843,14234,66419,11845,92330,406451,56565,8417,115806,100515,22806,78785,7478
24,66551,11492,101168,40369,582099,82264,45962,12416,13721,268228,147884,19811,23985,176711,91447,42627,40760,61502,65351,15179,78497,98713,140377,73907,41649,83123,14580,26868,40588,17080,114590,28903,279500,141830,12747,155004,55450,55951,164955,14630,67310,11958,94797,416834,54022,7870,118406,105849,22454,78326,7481
25,66397,11850,102245,40330,594167,86795,46378,12604,14798,274252,151681,20216,23988,178851,91732,41723,40380,61328,66169,15604,81293,101022,139125,75134,41737,84322,14609,26587,42074,17137,117068,29222,288160,143271,12509,158599,55092,57210,167718,14895,68667,11951,95932,424188,51198,7908,120054,110301,22148,78213,7449
26,68132,12556,104716,41335,618991,90934,44968,12956,16222,284160,154891,20793,24045,182529,95318,42550,40676,62907,68317,16068,82078,101325,140744,76924,42738,87711,14738,27094,45272,17481,116750,29941,292156,146387,12291,163102,57196,59787,172266,14770,70053,12239,99772,437345,51186,7575,120785,117274,22952,77837,7881
27,70333,12779,106747,42670,646679,92737,44172,13726,17008,295472,156809,21686,24233,183820,93773,41091,38883,64400,71394,16244,84797,101162,144674,74274,42728,87530,14283,25492,47075,17222,117035,29772,302966,149308,12475,163542,57952,62956,175315,15493,72919,11728,101697,438759,50868,7385,122637,121526,23693,74229,7832
28,69597,12538,105131,42388,647509,93371,44061,13899,17598,297296,155506,21238,23995,182722,90900,40409,38032,62860,70320,16422,86501,102946,141017,75597,42174,85341,14044,24978,47843,17108,117624,29089,307546,147343,12286,163464,56677,62757,179588,15729,73199,11405,100154,437014,47786,7491,122180,122522,23151,73357,8008
29,65555,11949,99141,39774,618470,90070,43344,13795,17470,285297,148858,20044,22915,175858,87136,38513,37064,58831,67619,16303,83765,101405,128894,74605,40034,81664,13446,24324,45200,16896,114576,27663,294749,142253,11592,158179,53932,60034,175861,15482,69613,11431,94909,422501,46193,7174,118530,117981,21670,70799,7709
30,62245,11781,95840,38672,603099,88291,44372,13100,17579,276746,143683,19942,22233,174141,84746,37301,36689,55982,64709,16093,83626,100800,123723,74655,37200,78862,13120,24789,44462,16754,113649,27663,290525,137012,10891,151636,52322,58601,171964,15018,66167,11462,90799,416849,43879,7324,118046,114142,20540,70131,7427
31,60439,11341,93001,37705,585442,88647,44257,12444,16831,269747,141169,19973,22085,171845,82785,37146,36559,54684,64101,15937,83386,99269,119058,75943,36544,78652,13041,25108,43263,16644,113547,27436,283382,133724,10651,147923,51425,58208,168443,14218,63800,11237,87960,415238,42206,7353,116835,112039,20352,70920,7606
32,60082,11529,94154,37775,582017,89435,45164,12254,16280,269904,140521,19632,22337,173505,83817,38967,37751,54326,64974,16216,83220,97595,120545,77324,36832,80355,13183,25410,43607,17040,115491,27674,279087,132959,10793,147902,52456,58934,167137,13766,63641,11446,87385,416517,43099,7244,117982,113219,20416,73018,7832
33,61281,11599,93944,38048,583094,88818,44964,12429,15643,271621,142289,19771,22913,176046,84836,40549,38831,55410,65741,16118,83921,96150,121560,79327,37829,80838,13538,26296,44097,16862,116355,28017,277817,132848,10958,148823,53550,59764,164411,13598,63649,11651,87549,420121,44327,7311,118064,113896,20375,75719,8080
34,59479,10943,90926,37891,564331,85324,43710,11856,14658,263760,137839,19711,22638,170464,82395,39466,38019,54379,63838,15335,82025,91239,117311,77142,36490,78230,13461,25645,42479,15931,113744,27358,262405,128043,10354,142110,52616,58234,158403,13262,62182,11545,84910,407796,44166,7326,115193,110457,20065,73154,7954
35,60424,11189,92849,38293,567403,85824,43884,12054,13969,267113,140403,19962,23063,172051,84611,40411,38378,55994,64368,15567,82491,90955,119581,78185,37734,80561,13700,26330,43017,16334,116139,27765,261971,132253,10547,144516,53816,59546,159345,13265,63487,11257,86724,413789,45970,7448,117480,110405,21290,74686,8004
36,61043,10656,92962,38397,563023,84486,43931,11736,13154,266310,141413,19757,23206,172433,85096,41097,38749,56012,64123,15814,82429,89707,120506,78589,38040,79741,13786,26238,42905,16104,116512,27413,258828,131811,10386,145452,53515,59771,159000,13291,63446,11563,87112,411971,46478,7383,116863,110216,21449,75056,7964
37,61017,10318,91870,38707,550063,83386,43443,11629,12314,262946,141109,19400,23235,170485,85350,40367,38333,56994,63276,15583,82051,87235,120105,77531,38494,79150,13453,25982,42233,15992,115476,26599,251773,131250,10019,145702,52108,58809,156566,13200,63483,11269,85996,407350,46375,7315,116050,107723,21625,74626,7721
38,62813,10205,94135,39612,557002,83730,44366,11981,11877,268477,145328,19460,23491,175475,87843,41365,38618,58463,63225,16024,83097,88165,122647,77394,39087,80369,13674,26016,42867,16162,119568,26957,258433,134900,9863,148464,53152,60130,158406,13245,64253,11555,88872,412695,47374,7501,118057,107873,22991,76114,8035
39,58697,9304,87071,36664,517489,77632,42252,11450,10898,253736,136975,18217,22388,164077,83018,38864,35894,55582,58695,15175,77334,84019,116851,71991,36514,74521,12781,23773,39816,15255,113792,24860,242058,128390,9080,140071,48819,56092,149449,12404,61405,10363,84179,385022,45162,6957,110184,99927,21875,71315,7434
40,58243,9099,85115,36213,506911,75884,41308,11058,9815,251649,134336,17544,21880,160821,81136,37423,34560,54951,56740,15083,75195,82013,114879,69227,35781,72853,12609,23142,39364,15127,112466,24185,236146,128583,8805,136305,47045,55295,146685,12037,59990,10039,82745,376509,44520,6992,107963,97261,21725,68952,7107
41,58338,8948,84744,35645,503432,74158,41333,10588,9293,252132,133927,17089,21447,159404,80045,36417,34422,54648,55951,14700,74308,79959,112990,66706,35667,71304,12222,22603,38703,14641,111556,23757,233452,128551,8317,134260,46590,54134,144400,11770,59843,9910,82350,373396,43145,6753,106222,95294,21822,68005,6865
42,55780,8324,82708,34428,493638,71337,40392,10150,8298,245828,130391,16479,20589,154143,77489,34607,32665,52624,52932,14398,72074,78636,109998,63919,34504,68208,11602,21684,37696,14564,109982,23226,227226,124244,7781,130132,44976,52404,139564,11352,56919,9504,78496,366218,40296,6532,102703,91896,20839,65082,6610
43,58464,8545,85750,35977,507536,73404,41712,10548,8302,252338,135761,16539,20895,158082,80214,35873,33241,54086,53014,15052,73963,80921,113532,65135,34937,70350,11495,22419,38796,15335,113800,23513,236383,129189,8013,135225,46341,52990,143788,11928,59812,9381,82908,373419,38849,6915,106078,93324,21911,67018,6608
44,57483,8062,83227,34582,489174,70238,40715,10274,7754,248235,132959,16063,19835,152754,77400,33511,31462,52595,51202,14987,70859,79042,112100,61588,34240,67482,11074,21124,37756,15160,110009,22509,225594,126734,7591,131065,44026,50596,141342,11694,58759,9068,80885,361403,36445,6805,103283,88950,21233,63862,6365
45,59086,8213,82402,35117,490577,70177,42164,10612,7791,255504,137175,16157,19408,154086,79229,33520,31498,53606,51948,15440,72827,81246,115186,61694,35043,68842,11112,20845,38403,15772,111165,22756,227477,130887,7567,134179,44497,50121,145093,12081,60577,8944,83367,362678,35175,6851,104523,88537,22160,64491,6235
46,62099,8531,84940,36694,500404,72681,44738,11165,7737,267439,142926,16697,20175,161591,82854,35586,32771,57140,54532,16737,77521,85968,122826,64756,36891,72860,11398,22035,39413,17330,116715,23564,237682,137732,7662,143514,46311,51606,154956,12739,63052,9288,87486,371391,35045,7297,110694,92024,23065,67819,6382
47,65814,8965,89628,38170,522948,76291,48540,12172,8084,280316,149567,17314,21027,169707,88180,37823,34541,59733,56898,17920,82521,91457,132069,70247,38379,77831,12338,22500,41769,18952,124100,24490,254894,146333,7970,154218,48050,55046,166532,13594,66544,9791,92845,382655,35627,8077,115960,98274,24311,73593,6713
48,64944,9243,90146,38368,542698,76503,50611,12623,7804,282084,149582,18313,20969,170988,87063,38545,35043,58982,57078,18090,83961,94141,133197,71616,38133,77464,12289,22753,42299,19103,127761,24700,266379,145577,8146,154232,48339,55385,168404,14121,66754,9834,92239,377716,34538,8348,116549,100335,24181,74633,6910
49,61023,8606,85049,35823,511456,71929,48923,11860,7371,266512,139169,17024,20093,161521,81760,36793,33136,56171,54990,17523,80511,90981,126634,68609,35887,72942,11749,21557,39741,18711,122599,23773,253582,136765,7867,146383,45121,52150,162608,13608,63195,9384,86873,352927,32283,7959,110355,95238,22771,71808,6300
50,59574,8410,82245,34836,498345,68166,48857,11895,7167,263168,134781,16585,19077,158553,79750,35654,31647,55381,54533,17559,80317,91085,125389,67020,35490,71313,11420,20673,38351,18603,121587,22939,250590,132780,7680,142977,43566,48994,161778,13800,62179,9254,83889,340277,30399,7785,109052,90902,22417,71618,6167
51,59898,8490,80875,34944,486379,66007,49664,12326,7094,266392,134798,16384,19282,158925,80928,36408,31999,55652,55036,18103,81033,92297,127236,67234,35084,72645,11473,20873,37523,19227,122454,23292,252361,132571,7694,145006,43161,48534,164969,14225,62092,9319,84254,332372,29931,8027,109109,88684,22818,73864,6123
52,61705,8766,81402,35570,489081,65974,51829,12695,7120,274265,137264,16640,19261,161411,82143,36940,33034,56637,56276,18568,83177,94664,129809,69504,35964,74069,11868,21477,37825,19676,125503,23485,259778,133165,7926,147414,44173,48609,168303,14439,64134,9691,86241,333759,29016,8246,111079,89112,23169,76032,6191
53,66124,9322,86511,39145,513729,70387,54570,13461,7605,292447,142905,17770,19988,170671,87812,39342,35369,61085,60366,19653,87843,99256,136539,74136,38641,80251,13045,23142,40114,21142,131640,25496,275533,139747,8543,156471,47716,50696,178527,15449,67849,10437,91917,348265,29841,8919,117848,94029,24625,80731,6725
54,67191,9571,87592,40000,516357,72056,55055,13682,7680,298245,143271,17740,20645,172397,90105,40720,36899,62427,61649,20580,89216,100436,141175,76675,39281,83471,13586,24116,39901,21726,132350,26370,276853,142283,8950,160483,49376,51533,181611,15314,70082,11139,93684,350917,30318,9210,120215,96396,24936,82968,7134
55,66911,9804,87657,39862,511918,72588,54151,13735,7627,296034,140264,17998,21281,172587,89225,41467,37690,61670,61478,21034,87958,99628,141657,78055,39303,84790,14083,24542,39249,22009,131338,26872,273896,140933,9354,160464,50554,52605,180562,15171,68928,11542,92404,349067,31096,9384,119288,98229,24793,83793,7455
56,67444,9786,87941,39613,504398,72899,53597,13691,7293,294331,138103,18012,21724,172243,89618,42426,38096,61561,61937,21335,86772,98559,142367,78573,39644,86184,14576,24974,39044,21973,129484,27977,269086,139444,9510,162139,50774,53485,181637,15576,68545,11665,91245,345374,31130,9590,116982,97933,24837,84556,7447
57,67632,9959,89270,39759,504507,74404,54503,13859,7345,296821,137452,17872,22128,175361,91689,43593,39030,61957,62788,21700,87073,99250,144574,80298,40017,87506,15169,25364,39102,22502,130344,28325,271655,140003,9724,166385,51586,54542,186547,15660,69637,12031,91486,343777,31469,10048,117409,99315,25544,86779,8060
58,68617,10142,90100,40072,513489,74916,54595,13932,7416,297111,136339,18913,22095,176767,91638,44060,38900,62234,64071,21557,86756,99060,145019,80586,40517,87553,15425,25741,39506,22345,129953,28726,278185,139887,10107,167073,52227,55484,187604,15452,70173,12279,92455,345404,31285,9785,116828,99653,26206,86467,8333
59,66207,9555,87117,38857,484498,72469,52621,13576,6995,286283,130189,18012,21380,170640,88752,42361,37973,60459,62059,21526,83754,95977,142661,77410,39217,84253,15270,24926,37380,22092,125654,27364,265871,135703,9780,165341,49885,53913,185445,15115,67472,11794,88947,329279,30382,9890,112535,96546,26378,84162,8099
60,65716,9508,87083,38367,476834,71703,51943,13908,6936,283495,126936,18151,21702,168957,89019,42256,37599,60597,60621,21748,81556,95170,144061,76563,38566,83547,15577,24436,37358,21637,123269,27446,261797,134740,9698,167112,49529,54673,187015,15153,67559,11877,88859,323119,30098,9880,111313,96675,26860,83010,8129
61,65975,9416,86496,38132,467496,71012,50693,13603,6829,282862,125884,18158,21903,165439,87471,41809,37698,59528,60513,21463,79700,92569,142577,74728,38794,83326,15631,24174,37054,21299,119912,27661,256358,132675,9556,164497,49091,55426,184159,15012,68301,11645,88391,316947,29943,9820,108523,95963,26825,81624,8333
62,63662,8899,83958,37130,450325,68356,48377,13363,6673,275017,120188,17975,21151,158564,83901,40472,36203,57239,58844,20780,75528,88680,136634,71267,37225,79470,15286,23503,36320,20028,114207,26994,245974,128900,9334,156574,47431,54371,175979,14447,66119,11599,85587,303427,28800,9462,104048,93351,25590,78042,8142
63,62620,9061,84332,36809,446239,67291,47088,13187,6666,274712,117971,18060,20937,156872,82626,40448,35832,57175,58411,20523,73975,87317,134260,69884,37173,77874,15257,23126,36650,19724,111314,26806,243497,127098,9157,154975,47102,55027,173908,14242,66568,11540,84734,297351,28427,9537,102219,93003,26029,77539,8062
64,60395,8472,82323,35866,421522,64962,44237,12785,6522,267935,112356,17576,20549,147757,79347,38645,34404,54925,55544,20315,69662,82957,128994,67081,35437,75038,15113,22262,34898,18906,103856,25976,228302,123600,8603,146988,45265,54959,166949,13330,64997,11289,82066,280545,27530,9093,97727,90203,25308,74605,7789
65,57463,7929,80318,34530,401505,63059,42233,12666,6067,261356,107197,17475,20394,141001,75847,37177,32812,52025,52419,19669,67194,79737,123383,64282,33268,71305,14804,21259,33636,17996,98520,25434,217753,118843,8359,140691,43088,54174,160483,12564,62925,10956,78132,268302,26367,8872,93144,87522,24826,71158,7481
66,55469,7460,78443,33190,379294,60083,39543,12193,5703,256278,102310,16767,19648,134523,72981,36334,31343,50699,50014,18960,63046,75670,119291,62099,32330,68746,14330,20782,32525,17280,93084,24945,208312,115329,8000,135963,40962,52226,153686,11926,61399,10460,74770,252745,24943,8507,88516,82950,24321,69110,6948
67,53650,6861,77436,32287,366372,57157,37253,11739,5551,254396,99429,16084,18737,130017,69450,34725,30113,48753,48745,18128,61291,72958,114658,58949,31631,66520,13815,19954,31794,16380,89905,24043,202302,111378,7386,130458,39703,50472,146680,11409,60397,10055,73144,243385,23562,8290,85557,79515,23892,65725,6664
68,52614,6661,77224,31470,362770,55212,36366,11558,5439,251097,97488,16516,18099,124930,67027,32988,28712,47202,46999,17636,58730,70334,109059,56125,30773,64033,13200,19013,31732,15726,87063,24037,198997,108478,6930,125744,38613,49144,140443,11105,59385,9641,70699,236161,22687,7925,83963,77290,23372,63007,6416
69,51603,6167,76308,31084,343161,52566,34925,11358,5224,248753,94552,15650,17667,119103,65220,31469,27282,46380,44708,17334,57017,68551,105565,53027,29409,61905,12573,18304,30740,15497,83344,23214,189699,105995,6602,122151,37061,47252,136606,10721,58173,9048,70175,225862,21944,7742,81622,74412,23289,60181,6074
70,51064,5767,77037,30749,333817,51298,35026,11423,5046,252145,93829,15503,17455,116629,62753,30330,26603,45112,43652,17345,56315,67644,102705,51191,28840,60634,12101,17357,30896,15556,82888,22776,186040,105834,6314,119567,36514,46117,135798,10458,58066,8482,69560,220732,21460,7458,81550,72641,22458,57974,5957
71,52887,5672,81490,32307,339077,53071,37339,12100,4967,270275,96027,15115,17960,119838,65350,31496,27707,47034,45209,17863,58018,70384,106549,52520,30249,63383,12478,17876,32258,16190,86961,22981,190100,110278,6406,125303,38349,48236,143322,11058,61099,8532,72352,225920,21619,7723,84076,75187,23184,59073,6104
72,38231,4150,60125,23575,262337,37655,27698,8659,3791,204511,70265,12162,12988,88194,46379,22596,19678,33275,32688,12334,42451,50830,76089,37830,21800,45727,8972,12745,23970,11087,65411,17264,143110,80531,4839,86545,28184,34279,100270,8073,43983,6141,51936,168666,15794,5537,61631,54253,16090,42756,4198
73,37953,4082,59532,23764,256763,36229,26787,8350,3748,201489,68781,12121,12787,85027,46060,22072,19517,32828,32535,12098,41593,49715,74156,37631,21457,45472,8709,12634,23273,10737,62802,17103,139860,78552,4769,82924,28397,33782,97087,7836,43155,5907,51300,165934,15710,5549,60498,53464,16048,41840,4216
74,36787,3806,58249,23055,240318,34468,26400,8148,3568,197602,65541,11540,12506,82991,44514,21686,19090,31897,30977,12000,39797,48006,73247,36526,20828,44852,8601,12603,22428,10484,60120,16087,132947,75240,4617,81029,27775,32510,96375,7445,41249,5828,49534,158822,15785,5290,58481,51574,15357,40799,4110
75,37420,3566,59360,23060,236410,33844,27648,8411,3414,204630,65574,10306,12643,85719,45962,22100,19216,32017,30861,12123,40697,49051,76138,37454,20823,45802,8655,12463,22449,10706,63559,15925,136313,75961,4520,85664,27232,32447,101615,7855,41645,5840,50028,154336,15573,5412,58889,50613,15704,41904,4047
76,31908,3072,51120,20203,206908,28888,23079,7180,3173,177054,55438,9144,10678,75021,39777,19281,16442,27606,26829,10300,35284,41595,65668,32384,17901,39532,7298,10849,19031,9095,54509,13818,118981,64686,3952,75224,23864,27368,86937,6558,35029,4979,43205,133126,13105,4324,50351,42793,13613,36357,3495
77,28771,2782,46410,18603,188421,25680,20227,6316,2749,160572,50152,8319,9638,66959,36012,18071,15202,25435,24667,8992,31309,36822,57811,29551,16600,36147,6857,9791,16830,7830,47849,12598,107148,58040,3648,67614,21861,24472,78121,5837,31781,4422,38775,123006,12013,4074,45252,38060,12623,32399,3062
78,27489,2409,43108,17535,179517,23800,18821,5683,2667,150535,46449,7732,8983,62277,33057,17054,14178,23696,23130,8341,28855,33948,53063,27723,15650,33350,6190,9293,15778,7276,45473,11674,102373,53239,3449,62606,20742,22757,72269,5438,28940,4325,36184,113570,11067,3605,42017,34795,11576,29808,2908
79,25270,2064,39496,15833,165462,21895,17611,5215,2416,140395,42127,6894,8226,58445,31105,16181,13373,22145,21147,7829,26705,31921,49422,26042,14434,31129,5678,8798,14124,6608,42245,10881,94756,48745,3393,58711,19236,20782,68396,5053,25879,4100,33143,103278,10269,3295,38684,31831,10857,28652,2691
80,23856,1938,36694,14705,155503,20297,16768,4965,2228,132247,38400,6606,7375,55530,29415,15456,12891,20690,19974,7323,25092,30387,46233,24295,13752,28998,5181,8378,12949,6145,40230,10111,90611,45731,3260,56362,17885,18946,65765,4833,23850,3807,30692,96576,9609,3189,35990,30055,10260,27108,2442
81,21028,1675,32765,13126,142103,18293,15140,4331,2068,120124,34216,5960,6636,50201,26228,14197,11631,17790,17671,6757,22296,28130,41498,22468,12082,26133,4853,7897,11307,5658,36866,9077,82666,40921,3116,51077,15819,17149,60033,4513,21023,3556,26849,87296,8780,2773,32377,26760,9449,24873,2253
82,19723,1478,30094,12189,132023,16884,14472,4021,1881,111266,31601,5625,6040,47423,24555,13650,11059,16615,16575,6302,20743,26405,39474,21132,11229,24638,4397,7330,10130,5401,34595,8500,77531,38885,2954,47420,14764,15652,56752,4180,19472,3545,25628,81058,8220,2580,29736,24428,8524,23338,2048
83,18117,1392,27295,11603,123934,15592,13673,3734,1813,103116,29416,5474,5642,44204,22819,12696,10459,15296,15357,5986,19352,25078,36937,19544,10494,23144,3966,6991,9240,5024,32149,7872,73087,36158,2809,44972,14047,14353,53704,3893,17977,3292,23388,76461,7638,2444,27492,22809,8000,21863,1873
84,15726,1227,23471,9942,109745,13894,12241,3199,1637,88811,24984,4930,4761,38255,19700,11180,9397,13513,13226,5260,16948,22082,31672,17345,8584,20630,3549,6271,7729,4481,28661,6678,64629,30692,2518,38660,12261,12548,47045,3647,15513,2947,20141,66585,6557,2197,23683,19897,6535,18912,1707
