Age,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
total,4887871,737438,7171646,3013825,39557045,5695564,3572665,967171,702455,21299325,10519475,1420491,1754208,12741080,6691878,3156145,2911505,4468402,4659978,1338404,6042718,6902149,9995915,5611179,2986530,6126452,1062305,1929268,3034392,1356458,8908520,2095428,19542209,10383620,760077,11689442,3943079,4190713,12807060,1057315,5084127,882235,6770010,28701845,3161105,626299,8517685,7535591,1805832,5813568,577737
0,56739,10665,83553,36901,477320,66125,35113,10645,9870,222040,126952,17224,22348,147623,80539,38291,36439,53557,59755,12409,70843,70787,110301,68566,35878,72258,12099,25809,35781,12217,100364,23668,227883,118550,10802,134002,50353,45259,135446,10557,55932,12109,78974,390665,50160,5632,99261,90662,17871,64588,6823
1,57964,10622,85206,37516,480807,66815,35886,10892,9451,226785,129588,17474,22656,149997,82185,39118,37293,54670,61043,12629,72391,71405,113010,70145,36911,73835,12212,26251,36778,12604,102829,23873,227305,120958,11125,136712,51369,45898,138131,10868,57248,12377,80367,398574,50053,5797,101645,92067,18464,66035,7066
2,59428,10649,87218,38615,488744,67444,36783,11126,9099,230991,132570,17619,23563,154179,84577,39958,38293,55437,62174,12930,73640,72227,115262,71486,37345,75014,12633,26691,37496,12946,104990,25038,229416,123154,10999,140350,52629,47148,141576,11040,59123,12534,82175,408353,50573,5950,103237,93100,19161,67476,7278
3,59872,10582,89977,38888,498325,68294,37674,11092,8908,231519,134469,17491,24141,155702,85801,40477,38443,55824,62025,13126,74367,72739,116558,72308,37696,75700,12859,27323,38222,13196,105141,25619,230190,123840,11069,141734,52814,47737,143556,11078,60341,12549,82894,414429,51050,6037,103808,93747,19709,68242,7380
4,59200,10597,89982,38423,496104,68176,37678,11056,8289,231848,133835,17896,23631,153118,85442,40374,38867,55924,62022,13188,73263,73003,117032,72786,37647,75906,12733,26894,37718,13057,105304,26048,225648,123626,10700,141991,53264,48172,144288,10870,59747,12563,82164,412105,51168,6265,102973,93125,20052,68041,7365
5,58221,10551,89586,37981,496909,67668,37866,11018,8482,229244,133485,18111,24138,152837,85734,40035,39065,55751,60482,13253,73216,73518,116164,72189,37353,75069,12618,26473,38169,13771,105277,26333,226596,122799,10417,142117,53672,47787,144015,10798,59672,12313,82084,406888,51880,6088,102763,93397,20360,68543,7362
6,59259,10378,89696,38726,495526,68350,38517,11303,8094,231879,136430,17773,23900,154486,85646,39766,39159,55294,60154,13288,73929,73715,116602,71826,38308,75023,12656,26215,37583,13423,106086,26313,225831,124134,10188,140929,53247,47965,144445,10979,60542,12210,82528,403957,50305,6277,103040,92720,20285,68969,7405
7,59811,10581,90466,38664,506874,69971,39555,11398,7711,233764,137827,17703,24640,156400,85744,39375,39658,55040,60325,13301,74954,74876,117303,71594,38284,75766,12652,26346,38825,14148,108278,27168,228353,124732,9858,140701,53640,48768,145349,11081,60810,12025,81701,411252,51662,6235,103679,93707,20108,69232,7468
8,60005,10403,90175,38947,495113,71058,39743,11275,6851,231064,138662,16808,24965,157443,86387,40848,40093,54976,59959,13870,74679,74048,118491,72574,38800,75828,12774,26576,38505,13935,107226,27337,221931,127464,9907,141599,53527,49212,145946,11038,62069,12040,82544,413346,52672,6341,103091,93947,20103,71653,7776
9,60604,10143,91803,38966,494480,70906,40330,11253,6484,231636,139500,16474,25322,156936,86595,41091,39646,55665,60647,13884,73666,73853,118088,72251,40222,76261,12826,26730,38525,14083,106695,27671,216615,128965,9836,142802,53711,48843,145859,10944,63162,12174,83483,412304,52559,6331,101884,93145,20187,71402,7836
